* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
* ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved

Release:
	version 3.0


Tag	,	Weight	,	Net	,	Device	,	Terminal
Defect_Open_92	,	1	,	xdut.xi75.net018	,	xdut.xi75.m6	,	D
Defect_Open_93	,	1	,	xdut.xi75.net012	,	xdut.xi75.m2	,	D
Defect_Open_94	,	2	,	xdut.xi75.net017	,	xdut.xi75.m9	,	D
Defect_Open_95	,	2	,	xdut.xi75.net022	,	xdut.xi75.m10	,	D
Defect_Open_96	,	1	,	xdut.net045	,	xdut.xi75.xi5.mptrans10	,	D
Defect_Open_97	,	1	,	xdut.net045	,	xdut.xi75.xi5.mntrans11	,	D
Defect_Open_98	,	1	,	xdut.xi62.net26	,	xdut.xi62.mntrans27	,	D
Defect_Open_99	,	1	,	xdut.xi62.net26	,	xdut.xi62.mntrans26	,	D
Defect_Open_100	,	1	,	xdut.err	,	xdut.xi62.mntrans25	,	D
Defect_Open_101	,	1	,	xdut.xi62.net26	,	xdut.xi62.mptrans24	,	D
Defect_Open_102	,	1	,	xdut.xi62.net41	,	xdut.xi62.mptrans23	,	D
Defect_Open_103	,	1	,	xdut.err	,	xdut.xi62.mptrans22	,	D
Defect_Open_104	,	1	,	xdut.xi5.net26	,	xdut.xi5.mntrans27	,	D
Defect_Open_105	,	1	,	xdut.xi5.net26	,	xdut.xi5.mntrans26	,	D
Defect_Open_106	,	1	,	xdut.disable	,	xdut.xi5.mntrans25	,	D
Defect_Open_107	,	1	,	xdut.xi5.net26	,	xdut.xi5.mptrans24	,	D
Defect_Open_108	,	1	,	xdut.xi5.net41	,	xdut.xi5.mptrans23	,	D
Defect_Open_109	,	1	,	xdut.disable	,	xdut.xi5.mptrans22	,	D
Defect_Open_110	,	1	,	xdut.xi41.net24	,	xdut.xi41.mptrans15	,	D
Defect_Open_111	,	1	,	xdut.net14	,	xdut.xi41.mptrans14	,	D
Defect_Open_112	,	1	,	xdut.xi41.net24	,	xdut.xi41.mntrans13	,	D
Defect_Open_113	,	1	,	xdut.net14	,	xdut.xi41.mntrans12	,	D
Defect_Open_114	,	1	,	undervoltage	,	xdut.xi64.mptrans10	,	D
Defect_Open_115	,	1	,	undervoltage	,	xdut.xi64.mntrans11	,	D
Defect_Open_116	,	1	,	overvoltage	,	xdut.xi65.mptrans10	,	D
Defect_Open_117	,	1	,	overvoltage	,	xdut.xi65.mntrans11	,	D
Defect_Open_118	,	1	,	xdut.enable	,	xdut.xi6.mptrans10	,	D
Defect_Open_119	,	1	,	xdut.enable	,	xdut.xi6.mntrans11	,	D
Defect_Open_120	,	1	,	xdut.net062	,	xdut.xi63.mptrans38	,	D
Defect_Open_121	,	1	,	xdut.net062	,	xdut.xi63.mptrans37	,	D
Defect_Open_122	,	1	,	xdut.xi63.net25	,	xdut.xi63.mntrans36	,	D
Defect_Open_123	,	1	,	xdut.net062	,	xdut.xi63.mntrans35	,	D
Defect_Open_124	,	1	,	xdut.xi8.net028	,	xdut.xi8.m0	,	D
