* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A) NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which  Infineon disclaims to the maximum extent permitted by applicable law; and
* (B) NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* (C) LIMITATION OF LIABILITY: IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved.

* Note:
* The CMOS transistor models used, were freely available models downloaded from: http://ptm.asu.edu.
* The bipolar transistor models are from: The Development of Bipolar Log-Domain Filters in a Standard CMOS Process, G. D. Duerden, G. W. Roberts, M. J. Deen, 2001

* Release:
* 	version 2.0

Tag,Net,path-port,device,terminal
TAG	,	Net	,	Path	,	Device	,	Terminal
G_43	,	net04	,	DUT.I51.I3.ntrans11:g	,	nreg	,	g
G_44	,	net033	,	DUT.I10.I19.ptrans10:g	,	preg	,	g
G_45	,	net033	,	DUT.I10.I19.ntrans11:g	,	nreg	,	g
G_46	,	net033	,	DUT.I14.I34.ptrans10:g	,	preg	,	g
G_47	,	net033	,	DUT.I14.I34.ntrans11:g	,	nreg	,	g
G_48	,	net033	,	DUT.I32.I17.ptrans10:g	,	preg	,	g
G_49	,	net033	,	DUT.I32.I17.ntrans11:g	,	nreg	,	g
G_50	,	net033	,	DUT.I32.M19:g	,	preg	,	g
G_51	,	net033	,	DUT.I32.M14:g	,	preg	,	g
G_52	,	net033	,	DUT.I32.M18:g	,	nreg	,	g
G_53	,	net033	,	DUT.I32.M16:g	,	nreg	,	g
G_54	,	net033	,	DUT.I0.I194.ptrans10:g	,	preg	,	g
G_55	,	net033	,	DUT.I0.I194.ntrans11:g	,	nreg	,	g
G_56	,	net033	,	DUT.I0.M137:g	,	nreg	,	g
G_57	,	net033	,	DUT.I57.I19.ptrans10:g	,	preg	,	g
